 density(rat); density(python); distance(rat, python); density(cheese_0); distance(rat, cheese_0); distance(python, cheese_0); density(cheese_1); distance(rat, cheese_1); distance(python, cheese_1); density(cheese_2); distance(rat, cheese_2); distance(python, cheese_2); density(cheese_3); distance(rat, cheese_3); distance(python, cheese_3); density(cheese_4); distance(rat, cheese_4); distance(python, cheese_4); density(cheese_5); distance(rat, cheese_5); distance(python, cheese_5); density(cheese_6); distance(rat, cheese_6); distance(python, cheese_6); density(cheese_7); distance(rat, cheese_7); distance(python, cheese_7); density(cheese_8); distance(rat, cheese_8); distance(python, cheese_8); density(cheese_9); distance(rat, cheese_9); distance(python, cheese_9); density(cheese_10); distance(rat, cheese_10); distance(python, cheese_10); density(cheese_11); distance(rat, cheese_11); distance(python, cheese_11); density(cheese_12); distance(rat, cheese_12); distance(python, cheese_12); density(cheese_13); distance(rat, cheese_13); distance(python, cheese_13); density(cheese_14); distance(rat, cheese_14); distance(python, cheese_14); density(cheese_15); distance(rat, cheese_15); distance(python, cheese_15); density(cheese_16); distance(rat, cheese_16); distance(python, cheese_16); density(cheese_17); distance(rat, cheese_17); distance(python, cheese_17); density(cheese_18); distance(rat, cheese_18); distance(python, cheese_18); density(cheese_19); distance(rat, cheese_19); distance(python, cheese_19); density(cheese_20); distance(rat, cheese_20); distance(python, cheese_20)
3.47542270531401;2.307947607947608;9.0;2.266965795642266;1.0;8.0;2.016979248186342;4.0;11.0;3.968411980176686;3.0;6.0;4.71629708011287;4.0;7.0;4.711482961482963;5.0;8.0;4.20012944571768;6.0;9.0;2.259903005491241;10.0;15.0;3.0865440115440124;8.0;11.0;3.173723498723499;12.0;15.0;2.4914066325831032;16.0;20.0;3.0165806415806418;12.0;15.0;2.775804750804751;15.0;18.0;2.170865653953889;20.0;21.0;2.219229278633303;20.0;21.0;2.5634554171318875;16.0;15.0;1.6525208093083985;23.0;20.0;2.4615656402421107;5.0;4.0;2.371435917024152;9.0;6.0;2.0095121381886085;20.0;13.0;1.921353646353646;16.0;9.0;2.647169394073419;8.0;3.0
2.401837051837052;2.2026227857110205;1.0;2.0915366496248846;3.0;4.0;2.109534909534909;6.0;7.0;3.258272283272284;6.0;7.0;3.2019444281208984;7.0;8.0;2.175914260318285;8.0;9.0;2.4654094386292527;9.0;10.0;2.591760942240482;9.0;10.0;1.8155034293192185;10.0;11.0;2.415545373547797;10.0;11.0;3.338932372474328;11.0;12.0;1.7835589103542393;12.0;13.0;3.7217475936516182;12.0;13.0;1.5379385465369444;13.0;14.0;1.634552258251612;13.0;14.0;3.1641505111834447;13.0;14.0;1.574904786700116;14.0;15.0;2.0536455853751248;14.0;15.0;1.6278053760251905;15.0;16.0;0.9001262438400143;18.0;17.0;1.7564698158738403;8.0;7.0;1.8826926126848729;6.0;5.0
2.948456119044354;2.6593086437126683;11.0;2.474181374181374;3.0;14.0;3.1169372294372293;5.0;16.0;2.9236428604075666;6.0;17.0;2.1970472939513184;4.0;11.0;2.300715847619872;8.0;19.0;3.614968364968365;4.0;9.0;1.9248572433085829;10.0;21.0;1.909552258251612;8.0;15.0;4.214693639693639;5.0;8.0;1.639583412803227;11.0;16.0;3.873362748362749;6.0;7.0;1.833376753964989;11.0;12.0;2.040683233175493;13.0;14.0;1.886325091317351;15.0;16.0;3.6510965341847696;6.0;5.0;2.4467966673849038;9.0;6.0;1.6013050816759258;17.0;10.0;3.376060459148696;7.0;4.0;2.163110805603065;13.0;4.0;2.091217918013246;15.0;4.0;2.5009582522740423;12.0;3.0
2.6558621933621938;2.352432799846988;13.0;2.3552350427350426;2.0;11.0;2.1837735793618145;3.0;10.0;2.1878962540727245;5.0;14.0;1.7567103292254724;11.0;24.0;2.6139914608954857;10.0;21.0;2.3822468727186723;12.0;23.0;2.632246872718672;12.0;23.0;1.9733769958921392;14.0;25.0;1.9563549582512432;12.0;19.0;1.988194974959681;12.0;19.0;2.2023119854002204;6.0;9.0;2.4130617318697816;10.0;13.0;3.683272283272284;9.0;10.0;2.922990897990898;9.0;10.0;3.532235613543663;10.0;9.0;2.196475746475746;15.0;8.0;1.8075765356647708;18.0;9.0;2.4208327190525334;11.0;4.0;2.1340310689146333;11.0;4.0;2.2075881123707206;16.0;5.0;1.5516316271111663;14.0;3.0
2.2041037179195078;2.645297654701679;3.0;3.6297369297369295;5.0;8.0;3.910903862219652;6.0;9.0;4.478402153402153;9.0;12.0;2.707392607392608;9.0;12.0;3.6262778887778886;9.0;12.0;4.246506665213759;10.0;13.0;2.9366078366078368;11.0;14.0;2.8405952380952386;12.0;15.0;4.228603749191985;10.0;11.0;2.808470695970696;11.0;12.0;4.381143856143857;11.0;12.0;1.8756937506937503;12.0;13.0;3.403366078366079;13.0;14.0;3.488163633751869;15.0;16.0;3.6832343095501;16.0;17.0;2.58680990062569;18.0;19.0;1.7256465756465758;19.0;20.0;2.125459262959263;7.0;7.0;1.2537744851131578;15.0;14.0;1.5438504907545154;11.0;10.0;1.5123241954124305;4.0;1.0
3.0011294261294257;2.224095349095349;12.0;2.2836691086691085;2.0;14.0;2.754599567099567;2.0;10.0;1.408017859333649;8.0;20.0;1.7244283494283492;8.0;18.0;3.455555555555556;6.0;12.0;3.4722766999082784;7.0;13.0;2.1335210111525904;7.0;13.0;3.646031746031746;8.0;12.0;3.468290043290044;6.0;8.0;3.608616280520305;9.0;11.0;3.272893772893773;7.0;7.0;2.1509386640191592;13.0;13.0;3.082178932178932;10.0;8.0;2.709956709956709;10.0;8.0;1.6517680418996208;18.0;11.0;1.831857439945675;14.0;8.0;1.492494858942227;18.0;10.0;1.962912087912088;12.0;6.0;2.337276612276612;12.0;6.0;1.3716462029542524;18.0;8.0;1.915443298531534;14.0;6.0
2.443119774326868;2.5486703930744183;7.0;2.869410633226423;3.0;6.0;2.637809820898056;5.0;10.0;2.713397202212992;8.0;13.0;2.439224092900564;11.0;16.0;2.649707645295881;7.0;10.0;2.498472257876283;14.0;19.0;3.027128427128427;11.0;14.0;1.3677364433475618;20.0;25.0;2.216850210557304;4.0;5.0;2.734506180094416;13.0;16.0;2.72834012392836;14.0;17.0;1.6754234499590537;19.0;22.0;2.504736929736929;11.0;12.0;2.0364852253010146;15.0;16.0;1.436610433993998;23.0;20.0;2.8431521093285803;6.0;5.0;1.7647323264970325;18.0;15.0;1.719145049137309;16.0;11.0;1.925539357443382;13.0;8.0;2.1392929853607603;5.0;2.0;2.4605324199364444;8.0;3.0
2.5678797365868307;1.9435463790259189;4.0;2.253695792511582;2.0;6.0;2.2709687972845867;5.0;9.0;1.856991559165472;6.0;10.0;2.644812540400776;6.0;8.0;1.477057575655974;12.0;16.0;1.6919957205863787;13.0;17.0;1.8341513878278584;14.0;18.0;2.9554695304695318;8.0;10.0;2.2109472828513077;9.0;11.0;2.662154512154512;10.0;12.0;1.949668387168387;18.0;20.0;1.7675384256266609;20.0;22.0;1.594985605944685;21.0;23.0;1.6570169709297706;23.0;25.0;1.3779379452863436;26.0;28.0;1.8596523359681252;14.0;15.0;1.6827527068477317;6.0;6.0;1.8862504543386895;4.0;4.0;1.5085948964886235;19.0;18.0;2.783896963889224;10.0;9.0;2.676968278763608;11.0;8.0
3.0027851233733585;2.198866248130954;5.0;1.8514807689730293;1.0;4.0;1.296970614973038;7.0;10.0;3.0814138475903183;7.0;10.0;2.985292485292485;8.0;11.0;1.874200653148021;11.0;14.0;1.9481997964196105;12.0;15.0;2.1622113997114;4.0;5.0;2.054962581278371;13.0;16.0;2.054962581278371;13.0;16.0;1.5188241568036964;14.0;17.0;2.091995429974969;16.0;17.0;1.852483246887272;18.0;17.0;2.4447112527994888;17.0;16.0;2.80117879047412;16.0;15.0;2.6129032517190423;14.0;13.0;2.0369930508088405;9.0;8.0;1.8016228052992755;7.0;6.0;2.313097427392756;12.0;10.0;2.36402753593156;12.0;9.0;3.1902211522567567;10.0;7.0;3.075424064239854;9.0;6.0
1.9735583888727908;2.410548193636429;12.0;1.6265914154072048;2.0;12.0;1.6604759690437438;6.0;12.0;1.6366127293758872;14.0;17.0;1.7182068634690115;18.0;21.0;1.7182068634690115;18.0;21.0;2.4072117152999506;7.0;7.0;2.8574005127455377;9.0;9.0;2.774804632807056;10.0;8.0;1.9072838653721007;9.0;7.0;2.1116285460325703;17.0;13.0;1.3881094524047817;29.0;21.0;1.3503515174354288;30.0;21.0;1.5521403575112012;24.0;16.0;1.5762279271611872;15.0;9.0;2.233437189745239;20.0;12.0;2.203954378954379;17.0;9.0;1.6601229437916742;21.0;9.0;2.4429994554136427;16.0;6.0;2.4832009206151087;14.0;4.0;2.379310819899055;14.0;4.0;2.0637545461074867;16.0;4.0
1.6298064495890583;1.803998075816288;27.0;2.006323617043431;6.0;23.0;1.9742775054845991;8.0;23.0;1.893651201739437;9.0;24.0;1.6492066827744576;11.0;26.0;2.3603446991604886;9.0;20.0;2.424451936951937;9.0;18.0;2.35131727730698;11.0;22.0;2.497743770963585;12.0;21.0;1.979967385555621;12.0;17.0;1.9974030054912404;14.0;19.0;2.10823055513458;14.0;19.0;2.220625513117773;16.0;21.0;2.3188477157517404;15.0;16.0;2.254975505455045;18.0;19.0;1.9167540792540791;16.0;13.0;1.721565085241556;20.0;15.0;1.3610029679069924;23.0;8.0;2.039085810989836;21.0;7.0;2.108386831606646;23.0;6.0;2.119523443121841;24.0;5.0;2.110279745642849;25.0;3.0
2.964752791068581;2.24224551678112;18.0;3.2316321535361787;2.0;18.0;2.922027400703872;3.0;19.0;2.2314447663283303;3.0;19.0;2.5581422662305013;5.0;15.0;1.6056095046874423;7.0;19.0;3.1362845487845488;6.0;12.0;2.752882248470484;8.0;16.0;2.50507172565996;6.0;12.0;2.6896892709973206;9.0;15.0;3.321257397573188;7.0;11.0;1.860837262153052;10.0;14.0;1.409807384102713;16.0;22.0;2.119408266312291;10.0;10.0;2.5728968385079574;19.0;17.0;2.712091868399918;18.0;16.0;2.2495253714293963;15.0;13.0;2.388795808818692;21.0;13.0;2.3094016348811746;22.0;12.0;2.3629114736312875;12.0;6.0;2.7004991199031445;15.0;3.0;2.561277344946076;16.0;2.0
3.903304048892284;1.8335154295832048;13.0;3.5700299700299705;1.0;14.0;3.0947422460580354;2.0;15.0;2.932420765509001;3.0;16.0;2.7443546649429007;3.0;16.0;3.805648926237161;7.0;16.0;3.802518315018315;8.0;17.0;2.9926087801087804;5.0;10.0;4.233360572176362;11.0;20.0;3.490747161335397;12.0;21.0;3.566504737092973;12.0;21.0;2.2694286707444604;14.0;23.0;1.9754196528109569;15.0;24.0;3.290977486565722;9.0;14.0;1.7021072884230777;17.0;26.0;2.483283383283383;10.0;15.0;2.9012057387057397;7.0;10.0;2.1825831031713387;12.0;17.0;3.038773726273727;9.0;12.0;1.6977460233265185;9.0;6.0;1.369983224836166;14.0;5.0;1.5830656617727557;12.0;3.0
2.64808334939914;1.7895505494341135;14.0;2.635843731431967;2.0;16.0;2.665793356969827;3.0;17.0;1.473474998389186;9.0;23.0;2.213665501165501;4.0;10.0;2.3542748917748915;7.0;17.0;2.0496627340667586;9.0;19.0;2.4183467676114736;10.0;18.0;2.243885281385281;14.0;20.0;2.327096514596515;14.0;20.0;1.839767074171099;10.0;14.0;2.5148965198887803;10.0;14.0;2.141418303918304;8.0;10.0;2.201624661028686;13.0;15.0;1.5548843700159491;19.0;16.0;2.500201595789831;15.0;12.0;2.91431893979848;14.0;10.0;2.532176082655622;14.0;8.0;2.786365328857589;13.0;7.0;2.224460566952827;13.0;7.0;2.660358002850263;12.0;6.0;1.7018841781999676;18.0;8.0
3.198767795671821;1.9383200133200127;12.0;2.9443666412706664;2.0;14.0;2.8736434317316677;3.0;14.0;2.4697982572982573;3.0;11.0;3.869711252799489;4.0;13.0;2.0021142000937395;4.0;12.0;2.6907429988312344;6.0;15.0;3.769098956598957;5.0;12.0;2.0489351547855383;5.0;12.0;1.6324831141697478;7.0;10.0;3.385187443275679;11.0;14.0;3.7182774526814777;12.0;15.0;3.0537641881682136;13.0;16.0;2.3612978524743227;12.0;13.0;1.5317741009607342;19.0;20.0;1.758448917148271;21.0;16.0;2.734406294188904;18.0;13.0;2.484406294188904;18.0;13.0;2.9971190645103696;18.0;11.0;2.79814254373078;17.0;10.0;1.4177833531464572;14.0;7.0;1.751158928790507;11.0;3.0
1.776271753067082;2.931721056721057;17.0;1.3940702127773066;5.0;18.0;1.341326796349679;9.0;16.0;1.6160800585723183;11.0;16.0;4.086219336219337;8.0;9.0;3.372630147630148;9.0;10.0;1.7869596762550053;10.0;11.0;2.041322960030054;11.0;10.0;3.54435841935842;9.0;8.0;2.657862459178249;12.0;9.0;1.614547243137901;20.0;15.0;2.2437730243612592;18.0;13.0;2.9319013573808967;17.0;12.0;3.122774447774447;15.0;10.0;3.1050144300144296;15.0;10.0;2.51706753709042;16.0;9.0;2.984308643712669;11.0;6.0;2.930501851090087;12.0;5.0;1.5288779632819878;23.0;8.0;2.315390165390166;15.0;4.0;2.2923825142865395;18.0;3.0;1.943690051778287;19.0;2.0
2.22634070339652;2.795609945609946;13.0;1.3307649937445334;1.0;12.0;1.5134072798546483;6.0;10.0;2.163703371791607;19.0;14.0;2.220846228934464;19.0;14.0;2.6364038739038738;17.0;12.0;1.7319496138536388;22.0;15.0;2.1702976547016792;12.0;7.0;1.0689124600889306;31.0;18.0;2.34730865539689;19.0;11.0;1.263779406867642;25.0;14.0;2.125815204971216;24.0;13.0;2.0603599015363723;23.0;12.0;1.5987465750623644;23.0;12.0;2.330054667554668;9.0;4.0;2.959816572316573;23.0;10.0;2.825017526333316;22.0;9.0;3.320749572065361;22.0;9.0;2.446504312680784;18.0;7.0;1.771490029578265;17.0;6.0;2.0545458626340976;16.0;3.0;2.404274891774892;11.0;2.0
2.711638244161128;1.821282702381101;4.0;2.7401574588645525;2.0;4.0;2.684652335968126;5.0;9.0;2.1661749799907697;5.0;9.0;2.0722050895963937;5.0;9.0;2.7759151652104945;3.0;5.0;2.922958006046241;7.0;11.0;2.4841745672628024;9.0;13.0;1.6364903070785422;12.0;16.0;3.179682817182817;12.0;16.0;2.656198376786612;14.0;18.0;3.637912087912088;14.0;18.0;3.373699400015189;15.0;19.0;2.1202565408447764;16.0;20.0;2.927495121202215;19.0;23.0;1.356554890122665;19.0;23.0;2.8597979205177344;20.0;24.0;2.1808480408480406;21.0;25.0;2.048247308247308;21.0;25.0;2.810677211156751;23.0;27.0;2.8215569488318177;24.0;28.0;1.571282702381101;4.0;4.0
